tweet_created_at,tweet_id,tweet_text,tweet_source,tweet_retweet_count,tweet_favorite_count,tweet_created_date
2021-11-04 16:05:10+00:00,1.46E+18,"🍄 #COMPETITION TIME 🍄

We're celebrating the new #AnimalCrossing update dropping by giving away this amazing… https://t.co/0oTT3N3UCL",Hootsuite Inc.,4478,2692,11/4/2021
2021-11-05 23:47:12+00:00,1.46E+18,"i would not only like to thank nintendo but also tom nook for all the beautiful items this update brought us 🪴🥺

♡… https://t.co/QGv9Pb6zi2",Twitter for iPad,2706,13316,11/5/2021
2021-11-05 01:49:35+00:00,1.46E+18,obsessed with this dialogue ?? #AnimalCrossing #ACNH #NintendoSwitch https://t.co/xTJx6aVyfc,Nintendo Switch Share,1899,12363,11/5/2021
2021-11-05 13:00:06+00:00,1.46E+18,The free Ver. 2.0 update for #AnimalCrossing: New Horizons and paid Animal Crossing: New Horizons – Happy Home Para… https://t.co/D2GzcD6uEq,Sprinklr Publishing,1582,16160,11/5/2021
2021-11-05 03:00:16+00:00,1.46E+18,"home🤍🧺

#AnimalCrossingNewHorizons #ACNH #AnimalCrossing #AnimalCrossingDesigns https://t.co/4NHsbuusya",Twitter for iPhone,1551,9482,11/5/2021
2021-10-31 18:33:56+00:00,1.45E+18,"a guide for how I created a butterfly pond on my island🦋✨

#acnh #animalcrossing #acnhinspo https://t.co/MpptBMDm0P",Twitter for iPhone,1445,10250,10/31/2021
2021-11-04 23:58:31+00:00,1.46E+18,OH MY GOD I INVITED FLICK AND HE BROUGHT CJ ALONG ITS CANON #AnimalCrossing #ACNH #NintendoSwitch https://t.co/JLSGOwjRnE,Nintendo Switch Share,1138,5729,11/4/2021
2021-11-05 13:30:05+00:00,1.46E+18,"Welcome to #AnimalCrossing: New Horizons – Happy Home Paradise! In this paid DLC, you’ll assist Paradise Planning i… https://t.co/unguOLMWvE",Sprinklr Publishing,1105,10779,11/5/2021
2021-11-04 22:43:25+00:00,1.46E+18,psa: if u buy from leif consistently he gifts u a veggie basket diy and it’s stinkin cute #acnh #animalcrossing https://t.co/1Oq1fVuIZV,Twitter for iPhone,1099,11094,11/4/2021
2021-10-31 12:11:30+00:00,1.45E+18,"Happy Halloween! 🎃👻

#animalcrossing #どうぶつの森 #acnhtober https://t.co/6AIFnAb58a",Twitter for iPhone,1004,4432,10/31/2021
2021-10-31 02:47:10+00:00,1.45E+18,"The new bunny boy from #AnimalCrossing is really cute~✨

Just felt like making a silly doodle ÒvÓ
--------------… https://t.co/EkXYLWBBc0",Twitter Web App,965,7192,10/31/2021
2021-10-31 18:28:15+00:00,1.45E+18,"ya heard it here first, it’s a Bones day!! 👻

#AnimalCrossing https://t.co/OH0ieJ0T1L",Twitter for iPhone,905,9374,10/31/2021
2021-10-30 00:03:51+00:00,1.45E+18,"SASHA!!!! I am obsessed with him...
#AnimalCrossing #ACNH https://t.co/qQoKQ5cQJb",Twitter Web App,901,4066,10/30/2021
2021-11-05 03:46:11+00:00,1.46E+18,if you don't have enough money for coffee at the roost with friends you get WATER LMAO #AnimalCrossing #ACNH… https://t.co/gT9MDB00fZ,Nintendo Switch Share,887,9910,11/5/2021
2021-11-04 19:38:43+00:00,1.46E+18,A WHAT NOW???? #acnh #animalcrossing https://t.co/Qq7e9K4T0a,Twitter for iPhone,752,11234,11/4/2021
2021-11-02 01:03:10+00:00,1.46E+18,"Sunken heart waterfall in different seasons of the year. 🌸🌿🍁🌨

#AnimalCrossing #ACNH #NintendoSwitch #acnhinspo https://t.co/pTn0DD1uja",Twitter for Android,744,4942,11/2/2021
2021-11-04 16:20:06+00:00,1.46E+18,GUYS OLD VILLAGERS REMEMBER YOU IM GONNA CRY #AnimalCrossing #ACNH #NintendoSwitch https://t.co/9ehYjjnvVE,Nintendo Switch Share,666,8239,11/4/2021
2021-11-04 20:23:08+00:00,1.46E+18,"this tree has my whole heart🌳🤍

#ACNH #AnimalCrossingNewHorizons #AnimalCrossing https://t.co/bgc1j0CPDP",Twitter for iPhone,625,5015,11/4/2021
2021-11-05 04:13:23+00:00,1.46E+18,n-nice.... #AnimalCrossing #ACNH https://t.co/xNZLzQY4rw,Nintendo Switch Share,622,8576,11/5/2021
2021-11-05 05:05:29+00:00,1.46E+18,"soft boy Sasha 🧸
#AnimalCrossing #ACNH https://t.co/hRYmQE4AV8",Twitter Web App,565,4944,11/5/2021
2021-11-02 09:12:39+00:00,1.46E+18,"sasha having a boba break from,, , well . . . a nap, i guess ? (・∇・;)

#ACNH #AnimalCrossing https://t.co/1G3Y0tdvJ3",Twitter for iPhone,556,3596,11/2/2021
2021-11-05 11:25:04+00:00,1.46E+18,"🍂 my crop farm bird's eye view 🍂

#AnimalCrossingNewHorizons #AnimalCrossing https://t.co/RxvoJizV94",Twitter for Android,521,4543,11/5/2021
2021-10-31 04:00:00+00:00,1.45E+18,"Doggies Halloween🐶🍭
#ハッピーハロウィン #あつまれどうぶつの森 #AnimalCrossing https://t.co/je5rBx3yrU",Twitter Web App,497,1945,10/31/2021
2021-11-05 02:09:47+00:00,1.46E+18,✨happiness✨ in the form of a hanging chair #acnh #AnimalCrossing #AnimalCrossingNewHorizions https://t.co/wFhm3X659g,Twitter for iPhone,495,6666,11/5/2021
2021-11-04 15:56:19+00:00,1.46E+18,among #AnimalCrossing #ACNH #NintendoSwitch https://t.co/wlxSEsBDSl,Nintendo Switch Share,494,5595,11/4/2021
2021-10-30 15:39:51+00:00,1.45E+18,"instead of orange molly, i offer you pumpkin molly 🎃 

♡ — #acnh #animalcrossing  #どうぶつの森 https://t.co/SEZ22YcW2m",Twitter for iPad,489,2478,10/30/2021
2021-11-05 16:59:06+00:00,1.46E+18,"my new house🍂🧺…

#acnh #acnhdesign #animalcrossing #animalcrossingnewhorizons #animalcrossingdesign #どうぶつの森 https://t.co/RiPLa8iP4k",Twitter for iPhone,482,4546,11/5/2021
2021-11-01 16:03:28+00:00,1.46E+18,"8 New Design Ideas for Kapp'n's Pier using my newly released codes!🌴
#ACNH #AnimalCrossingNewHorizons… https://t.co/5hkCKpqAGb",Twitter Web App,466,3022,11/1/2021
2021-10-31 14:38:01+00:00,1.45E+18,"To celebrate this Halloween I made this Animal Crossing x Bloodborne Crossover! 👻

What happened to the actual Isab… https://t.co/vAl43zc23L",Twitter Web App,445,1581,10/31/2021
2021-11-05 22:43:49+00:00,1.46E+18,"Cuties 💕

#AnimalCrossing #ACNH #AnimalCrossingNewHorizons  #Nintendo #fanart https://t.co/KxYIIktHlT",Twitter Web App,417,2016,11/5/2021
2021-11-02 17:01:39+00:00,1.46E+18,"conjured up a new dress! ✨
#ACNH #AnimalCrossing #ACNHDesign https://t.co/b1GaZnSb47",Twitter Web App,394,1941,11/2/2021
2021-11-05 17:43:05+00:00,1.46E+18,The update has buffed Nook - he's President now?! #AnimalCrossing #ACNH #NintendoSwitch https://t.co/uhAAC7VQNb,Nintendo Switch Share,393,6028,11/5/2021
2021-11-05 23:25:34+00:00,1.46E+18,"the cave beside the land bridge 🍃 
#animalcrossing #acnh https://t.co/UwxLVk4RXW",Twitter for iPhone,393,2882,11/5/2021
2021-11-05 21:31:33+00:00,1.46E+18,"Listen to the Gyroids Jam 
#AnimalCrossing #AnimalCrossingNewHorizons https://t.co/OGLSgbPaTE",Twitter Web App,391,2126,11/5/2021
2021-11-05 00:40:24+00:00,1.46E+18,"yes yes &amp; yes!! 

#ACNH #AnimalCrossingNewHorizons #AnimalCrossing https://t.co/TZinVx97ru",Twitter for iPhone,335,2066,11/5/2021
2021-10-30 22:08:15+00:00,1.45E+18,"Bones and I are very happy to finally share our winter road designs with you✨⛄️ 
#ACNH #AnimalCrossing https://t.co/cS5FvCgCSP",Twitter for iPhone,324,1957,10/30/2021
2021-11-01 01:09:57+00:00,1.45E+18,Happy Halloween! 🎃 #animalcrossing https://t.co/KXvtGLQ1xK,Twitter Web App,322,3317,11/1/2021
2021-11-05 16:15:23+00:00,1.46E+18,"New villager giveaway! 

One winner receives a new villager of their choice! 

To enter:
🍭Follow @carebearti  
🍭Ret… https://t.co/KXWwNAS5Yg",Twitter for Android,280,304,11/5/2021
2021-11-05 22:55:27+00:00,1.46E+18,"preschool for little saplings 🎨🤍

#ACNH #AnimalCrossingNewHorizons #AnimalCrossing #ACNHDesigns https://t.co/n8tiGCwyiV",Twitter for iPhone,275,2602,11/5/2021
