,date,volume
9170,2021-11-04 21:34:56+00:00,1
9169,2021-11-04 21:34:59+00:00,2
9168,2021-11-04 21:35:02+00:00,3
9167,2021-11-04 21:35:14+00:00,4
9166,2021-11-04 21:35:15+00:00,6
9165,2021-11-04 21:35:18+00:00,7
9164,2021-11-04 21:35:20+00:00,9
9163,2021-11-04 21:35:21+00:00,10
9162,2021-11-04 21:35:29+00:00,11
9161,2021-11-04 21:35:30+00:00,12
9160,2021-11-04 21:35:31+00:00,13
9159,2021-11-04 21:35:32+00:00,14
9158,2021-11-04 21:35:33+00:00,15
9157,2021-11-04 21:35:40+00:00,16
9156,2021-11-04 21:35:43+00:00,17
9155,2021-11-04 21:35:44+00:00,18
9154,2021-11-04 21:35:49+00:00,19
9153,2021-11-04 21:35:51+00:00,20
9152,2021-11-04 21:35:52+00:00,21
9151,2021-11-04 21:35:56+00:00,22
9150,2021-11-04 21:35:59+00:00,23
9149,2021-11-04 21:36:04+00:00,22
9148,2021-11-04 21:36:06+00:00,23
9147,2021-11-04 21:36:15+00:00,22
9146,2021-11-04 21:36:21+00:00,20
9145,2021-11-04 21:36:22+00:00,20
9144,2021-11-04 21:36:23+00:00,21
9143,2021-11-04 21:36:26+00:00,22
9142,2021-11-04 21:36:36+00:00,18
9141,2021-11-04 21:36:41+00:00,18
9140,2021-11-04 21:36:47+00:00,17
9139,2021-11-04 21:36:55+00:00,15
9138,2021-11-04 21:36:56+00:00,16
9137,2021-11-04 21:36:59+00:00,15
9136,2021-11-04 21:37:00+00:00,15
9135,2021-11-04 21:37:01+00:00,16
9134,2021-11-04 21:37:02+00:00,17
9133,2021-11-04 21:37:05+00:00,17
9132,2021-11-04 21:37:07+00:00,17
9131,2021-11-04 21:37:10+00:00,18
9130,2021-11-04 21:37:11+00:00,19
9129,2021-11-04 21:37:13+00:00,20
9128,2021-11-04 21:37:24+00:00,18
9127,2021-11-04 21:37:31+00:00,18
9126,2021-11-04 21:37:38+00:00,18
9125,2021-11-04 21:37:40+00:00,19
9124,2021-11-04 21:37:41+00:00,20
9123,2021-11-04 21:37:43+00:00,20
9122,2021-11-04 21:37:44+00:00,21
9121,2021-11-04 21:37:45+00:00,22
9120,2021-11-04 21:37:49+00:00,23
9119,2021-11-04 21:37:50+00:00,25
9118,2021-11-04 21:37:52+00:00,27
9117,2021-11-04 21:37:53+00:00,28
9116,2021-11-04 21:37:57+00:00,28
9115,2021-11-04 21:37:58+00:00,29
9114,2021-11-04 21:37:59+00:00,30
9113,2021-11-04 21:38:12+00:00,24
9112,2021-11-04 21:38:17+00:00,22
9111,2021-11-04 21:38:19+00:00,23
9110,2021-11-04 21:38:20+00:00,24
9109,2021-11-04 21:38:29+00:00,24
9108,2021-11-04 21:38:32+00:00,24
9107,2021-11-04 21:38:35+00:00,25
9106,2021-11-04 21:38:37+00:00,26
9105,2021-11-04 21:38:38+00:00,27
9104,2021-11-04 21:38:40+00:00,27
9103,2021-11-04 21:38:44+00:00,25
9102,2021-11-04 21:38:45+00:00,25
9101,2021-11-04 21:38:46+00:00,24
9100,2021-11-04 21:38:54+00:00,18
9099,2021-11-04 21:38:56+00:00,19
9098,2021-11-04 21:38:57+00:00,20
9097,2021-11-04 21:38:59+00:00,19
9096,2021-11-04 21:39:02+00:00,18
9095,2021-11-04 21:39:03+00:00,19
9094,2021-11-04 21:39:05+00:00,21
9093,2021-11-04 21:39:09+00:00,22
9092,2021-11-04 21:39:19+00:00,21
9091,2021-11-04 21:39:23+00:00,20
9090,2021-11-04 21:39:24+00:00,21
9089,2021-11-04 21:39:26+00:00,22
9088,2021-11-04 21:39:40+00:00,18
9087,2021-11-04 21:39:44+00:00,18
9086,2021-11-04 21:39:49+00:00,16
9085,2021-11-04 21:39:51+00:00,18
9084,2021-11-04 21:39:53+00:00,19
9083,2021-11-04 21:39:54+00:00,22
9082,2021-11-04 21:39:57+00:00,21
9081,2021-11-04 21:40:00+00:00,20
9080,2021-11-04 21:40:02+00:00,21
9079,2021-11-04 21:40:05+00:00,19
9078,2021-11-04 21:40:06+00:00,19
9077,2021-11-04 21:40:10+00:00,19
9076,2021-11-04 21:40:11+00:00,20
9075,2021-11-04 21:40:17+00:00,21
9074,2021-11-04 21:40:19+00:00,23
9073,2021-11-04 21:40:22+00:00,23
9072,2021-11-04 21:40:23+00:00,24
9071,2021-11-04 21:40:27+00:00,22
9070,2021-11-04 21:40:28+00:00,23
9069,2021-11-04 21:40:29+00:00,24
