emoji,before path,old_path,image_path,
4️⃣,34-20e3.svg,emoji_images/34-20e3.svg,https://twemoji.maxcdn.com/v/latest/svg/34-20e3.svg,https://twemoji.maxcdn.com/v/latest/72x72/2764.png
\U0001f9a4,1f9a4.svg,emoji_images/1f9a4.svg,https://twemoji.maxcdn.com/v/latest/svg/1f9a4.svg,
\U0001f90c🏼,1f90c-1f3fc.svg,emoji_images/1f90c-1f3fc.svg,https://twemoji.maxcdn.com/v/latest/svg/1f90c-1f3fc.svg,
\U0001f972,1f972.svg,emoji_images/1f972.svg,https://twemoji.maxcdn.com/v/latest/svg/1f972.svg,
\U0001f977,1f977.svg,emoji_images/1f977.svg,https://twemoji.maxcdn.com/v/latest/svg/1f977.svg,
\U0001f978,1f978.svg,emoji_images/1f978.svg,https://twemoji.maxcdn.com/v/latest/svg/1f978.svg,
\U0001fa9c,1fa9c.svg,emoji_images/1fa9c.svg,https://twemoji.maxcdn.com/v/latest/svg/1fa9c.svg,
\U0001fa9e,1fa9e.svg,emoji_images/1fa9e.svg,https://twemoji.maxcdn.com/v/latest/svg/1fa9e.svg,
\U0001fa84,1fa84.svg,emoji_images/1fa84.svg,https://twemoji.maxcdn.com/v/latest/svg/1fa84.svg,
\U0001faa6,1faa6.svg,emoji_images/1faa6.svg,https://twemoji.maxcdn.com/v/latest/svg/1faa6.svg,
\U0001faa8,1faa8.svg,emoji_images/1faa8.svg,https://twemoji.maxcdn.com/v/latest/svg/1faa8.svg,
\U0001fab2,1fab2.svg,emoji_images/1fab2.svg,https://twemoji.maxcdn.com/v/latest/svg/1fab2.svg,
\U0001fab3,1fab3.svg,emoji_images/1fab3.svg,https://twemoji.maxcdn.com/v/latest/svg/1fab3.svg,
\U0001fab4,1fab4.svg,emoji_images/1fab4.svg,https://twemoji.maxcdn.com/v/latest/svg/1fab4.svg,
\U0001fab5,1fab5.svg,emoji_images/1fab5.svg,https://twemoji.maxcdn.com/v/latest/svg/1fab5.svg,
\U0001fab6,1fab6.svg,emoji_images/1fab6.svg,https://twemoji.maxcdn.com/v/latest/svg/1fab6.svg,
\U0001fad0,1fad0.svg,emoji_images/1fad0.svg,https://twemoji.maxcdn.com/v/latest/svg/1fad0.svg,
\U0001fad1,1fad1.svg,emoji_images/1fad1.svg,https://twemoji.maxcdn.com/v/latest/svg/1fad1.svg,
\U0001fad6,1fad6.svg,emoji_images/1fad6.svg,https://twemoji.maxcdn.com/v/latest/svg/1fad6.svg,
boy,1f466.svg,emoji_images/1f466.svg,https://twemoji.maxcdn.com/v/latest/svg/1f466.svg,
girl,1f467.svg,emoji_images/1f467.svg,https://twemoji.maxcdn.com/v/latest/svg/1f467.svg,
woman,1f469.svg,emoji_images/1f469.svg,https://twemoji.maxcdn.com/v/latest/svg/1f469.svg,
©️,a9.svg,emoji_images/a9.svg,https://twemoji.maxcdn.com/v/latest/svg/a9.svg,
®,ae.svg,emoji_images/ae.svg,https://twemoji.maxcdn.com/v/latest/svg/ae.svg,
‼,203c.svg,emoji_images/203c.svg,https://twemoji.maxcdn.com/v/latest/svg/203c.svg,
⁉️,2049.svg,emoji_images/2049.svg,https://twemoji.maxcdn.com/v/latest/svg/2049.svg,
™,2122.svg,emoji_images/2122.svg,https://twemoji.maxcdn.com/v/latest/svg/2122.svg,
⏰,23f0.svg,emoji_images/23f0.svg,https://twemoji.maxcdn.com/v/latest/svg/23f0.svg,
▪,25aa.svg,emoji_images/25aa.svg,https://twemoji.maxcdn.com/v/latest/svg/25aa.svg,
▶️,25b6.svg,emoji_images/25b6.svg,https://twemoji.maxcdn.com/v/latest/svg/25b6.svg,
☀️,2600.svg,emoji_images/2600.svg,https://twemoji.maxcdn.com/v/latest/svg/2600.svg,
☁️,2601.svg,emoji_images/2601.svg,https://twemoji.maxcdn.com/v/latest/svg/2601.svg,
