emoji,group,before path,old_path,image_path,
4️⃣,misc,34-20e3.svg,emoji_images/34-20e3.svg,https://twemoji.maxcdn.com/v/latest/svg/34-20e3.svg,https://twemoji.maxcdn.com/v/latest/72x72/2764.png
\U0001f9a4,animal,1f9a4.svg,emoji_images/1f9a4.svg,https://twemoji.maxcdn.com/v/latest/svg/1f9a4.svg,
\U0001f90c🏼,hand,1f90c-1f3fc.svg,emoji_images/1f90c-1f3fc.svg,https://twemoji.maxcdn.com/v/latest/svg/1f90c-1f3fc.svg,
\U0001f972,sentiment,1f972.svg,emoji_images/1f972.svg,https://twemoji.maxcdn.com/v/latest/svg/1f972.svg,
\U0001f977,misc,1f977.svg,emoji_images/1f977.svg,https://twemoji.maxcdn.com/v/latest/svg/1f977.svg,
\U0001f978,sentiment,1f978.svg,emoji_images/1f978.svg,https://twemoji.maxcdn.com/v/latest/svg/1f978.svg,
\U0001fa9c,tool,1fa9c.svg,emoji_images/1fa9c.svg,https://twemoji.maxcdn.com/v/latest/svg/1fa9c.svg,
\U0001fa9e,furniture,1fa9e.svg,emoji_images/1fa9e.svg,https://twemoji.maxcdn.com/v/latest/svg/1fa9e.svg,
\U0001fa84,tool,1fa84.svg,emoji_images/1fa84.svg,https://twemoji.maxcdn.com/v/latest/svg/1fa84.svg,
\U0001faa6,halloween,1faa6.svg,emoji_images/1faa6.svg,https://twemoji.maxcdn.com/v/latest/svg/1faa6.svg,
\U0001faa8,misc,1faa8.svg,emoji_images/1faa8.svg,https://twemoji.maxcdn.com/v/latest/svg/1faa8.svg,
\U0001fab2,bug,1fab2.svg,emoji_images/1fab2.svg,https://twemoji.maxcdn.com/v/latest/svg/1fab2.svg,
\U0001fab3,bug,1fab3.svg,emoji_images/1fab3.svg,https://twemoji.maxcdn.com/v/latest/svg/1fab3.svg,
\U0001fab4,plant,1fab4.svg,emoji_images/1fab4.svg,https://twemoji.maxcdn.com/v/latest/svg/1fab4.svg,
\U0001fab5,misc,1fab5.svg,emoji_images/1fab5.svg,https://twemoji.maxcdn.com/v/latest/svg/1fab5.svg,
\U0001fab6,nature,1fab6.svg,emoji_images/1fab6.svg,https://twemoji.maxcdn.com/v/latest/svg/1fab6.svg,
\U0001fad0,fruit,1fad0.svg,emoji_images/1fad0.svg,https://twemoji.maxcdn.com/v/latest/svg/1fad0.svg,
\U0001fad1,fruit,1fad1.svg,emoji_images/1fad1.svg,https://twemoji.maxcdn.com/v/latest/svg/1fad1.svg,
\U0001fad6,misc,1fad6.svg,emoji_images/1fad6.svg,https://twemoji.maxcdn.com/v/latest/svg/1fad6.svg,
boy,misc,1f466.svg,emoji_images/1f466.svg,https://twemoji.maxcdn.com/v/latest/svg/1f466.svg,
girl,misc,1f467.svg,emoji_images/1f467.svg,https://twemoji.maxcdn.com/v/latest/svg/1f467.svg,
woman,misc,1f469.svg,emoji_images/1f469.svg,https://twemoji.maxcdn.com/v/latest/svg/1f469.svg,
©️,misc,a9.svg,emoji_images/a9.svg,https://twemoji.maxcdn.com/v/latest/svg/a9.svg,
