,tweet_emojis
3,{'🤔': 'thinking face'}
33,{'\U0001f972': 'smiling face with tear'}
51,{'😀': 'grinning face'}
65,{'🦖': 'T-Rex'}
71,"{'🏝': 'desert island', '😍': 'smiling face with heart-eyes'}"
76,{'😳': 'flushed face'}
86,"{'🖤': 'black heart', '🥺': 'pleading face'}"
119,{'😂': 'face with tears of joy'}
130,"{'🤩': 'star-struck', '🐧': 'penguin'}"
171,{'✨': 'sparkles'}
175,"{'🌊': 'water wave', '⛵': 'sailboat'}"
185,{'🥴': 'woozy face'}
200,{'🥰': 'smiling face with hearts'}
204,{'🥰': 'smiling face with hearts'}
220,"{'👏': 'clapping hands', '☕': 'hot beverage'}"
221,"{'👏': 'clapping hands', '☕': 'hot beverage'}"
288,"{'👀': 'eyes', '😏': 'smirking face'}"
289,"{'👀': 'eyes', '😏': 'smirking face'}"
296,{'🥰': 'smiling face with hearts'}
297,{'🥰': 'smiling face with hearts'}
334,{'😺': 'grinning cat'}
335,{'😺': 'grinning cat'}
360,{'🎃': 'jack-o-lantern'}
361,{'🎃': 'jack-o-lantern'}
370,{'😅': 'grinning face with sweat'}
371,{'😅': 'grinning face with sweat'}
454,{'🤩': 'star-struck'}
455,{'🤩': 'star-struck'}
517,{'🎵': 'musical note'}
518,{'🎵': 'musical note'}
535,"{'🥰': 'smiling face with hearts', '🔴': 'red circle'}"
536,"{'🥰': 'smiling face with hearts', '🔴': 'red circle'}"
579,"{'🌷': 'tulip', '👒': 'woman’s hat'}"
580,"{'🌷': 'tulip', '👒': 'woman’s hat'}"
585,{'♥': 'heart suit'}
586,{'♥': 'heart suit'}
621,{'❤️': 'red heart'}
622,{'❤️': 'red heart'}
641,{'😆': 'grinning squinting face'}
642,{'😆': 'grinning squinting face'}
647,"{'🍂': 'fallen leaf', '✨': 'sparkles'}"
648,"{'🍂': 'fallen leaf', '✨': 'sparkles'}"
694,"{'🖤': 'black heart', '🥺': 'pleading face'}"
695,"{'🖤': 'black heart', '🥺': 'pleading face'}"
718,{'♥': 'heart suit'}
719,{'♥': 'heart suit'}
720,"{'🎵': 'musical note', '💖': 'sparkling heart', '🥺': 'pleading face'}"
721,"{'🎵': 'musical note', '💖': 'sparkling heart', '🥺': 'pleading face'}"
774,{'😭': 'loudly crying face'}
775,{'😭': 'loudly crying face'}
836,"{'🧡': 'orange heart', '🥺': 'pleading face'}"
837,"{'🧡': 'orange heart', '🥺': 'pleading face'}"
938,"{'🐢': 'turtle', '🎶': 'musical notes'}"
939,"{'🐢': 'turtle', '🎶': 'musical notes'}"
990,"{'😍': 'smiling face with heart-eyes', '🥺': 'pleading face'}"
991,"{'😍': 'smiling face with heart-eyes', '🥺': 'pleading face'}"
1046,{'✨': 'sparkles'}
1047,{'✨': 'sparkles'}
1106,{'😊': 'smiling face with smiling eyes'}
1107,{'😊': 'smiling face with smiling eyes'}
1158,{'🦌': 'deer'}
1159,{'🦌': 'deer'}
1254,"{'😭': 'loudly crying face', '🥺': 'pleading face'}"
1255,"{'😭': 'loudly crying face', '🥺': 'pleading face'}"
1332,{'😌': 'relieved face'}
1333,{'😌': 'relieved face'}
1346,{'👏': 'clapping hands'}
1347,{'👏': 'clapping hands'}
1368,"{'😮\u200d💨': 'face exhaling', '🥺': 'pleading face'}"
1369,"{'😮\u200d💨': 'face exhaling', '🥺': 'pleading face'}"
1398,"{'🍂': 'fallen leaf', '\U0001fa84': 'magic wand'}"
1399,"{'🍂': 'fallen leaf', '\U0001fa84': 'magic wand'}"
1438,{'🍃': 'leaf fluttering in wind'}
1439,{'🍃': 'leaf fluttering in wind'}
1468,"{'🤩': 'star-struck', '✨': 'sparkles'}"
1469,"{'🤩': 'star-struck', '✨': 'sparkles'}"
1542,{'♥': 'heart suit'}
1543,{'♥': 'heart suit'}
1556,{'😱': 'face screaming in fear'}
1557,{'😱': 'face screaming in fear'}
1568,"{'🤎': 'brown heart', '☕': 'hot beverage'}"
1569,"{'🤎': 'brown heart', '☕': 'hot beverage'}"
1572,{'✌🏻': 'victory hand: light skin tone'}
1573,{'✌🏻': 'victory hand: light skin tone'}
1586,{'🌞': 'sun with face'}
1587,{'🌞': 'sun with face'}
1592,{'😄': 'grinning face with smiling eyes'}
1593,{'😄': 'grinning face with smiling eyes'}
1650,"{'😭': 'loudly crying face', '❤️': 'red heart', '💕': 'two hearts'}"
1651,"{'😭': 'loudly crying face', '❤️': 'red heart', '💕': 'two hearts'}"
1652,{'🥺': 'pleading face'}
1653,{'🥺': 'pleading face'}
1688,"{'🌾': 'sheaf of rice', '🚜': 'tractor'}"
1689,"{'🌾': 'sheaf of rice', '🚜': 'tractor'}"
1730,{'😂': 'face with tears of joy'}
1731,{'😂': 'face with tears of joy'}
1774,{'💀': 'skull'}
1775,{'💀': 'skull'}
1794,{'😍': 'smiling face with heart-eyes'}
1795,{'😍': 'smiling face with heart-eyes'}
1796,{'⛅': 'sun behind cloud'}
1797,{'⛅': 'sun behind cloud'}
1896,"{'🏝': 'desert island', '💕': 'two hearts', '📚': 'books'}"
1897,"{'🏝': 'desert island', '💕': 'two hearts', '📚': 'books'}"
1974,"{'😭': 'loudly crying face', '🥺': 'pleading face'}"
1975,"{'😭': 'loudly crying face', '🥺': 'pleading face'}"
1978,{'♥': 'heart suit'}
1979,{'♥': 'heart suit'}
2026,"{'🐰': 'rabbit face', '📸': 'camera with flash', '✨': 'sparkles'}"
2027,"{'🐰': 'rabbit face', '📸': 'camera with flash', '✨': 'sparkles'}"
2072,{'♥': 'heart suit'}
2073,{'♥': 'heart suit'}
2078,"{'☕': 'hot beverage', '🐦': 'bird'}"
2079,"{'☕': 'hot beverage', '🐦': 'bird'}"
2088,"{'😁': 'beaming face with smiling eyes', '🥳': 'partying face'}"
2089,"{'😁': 'beaming face with smiling eyes', '🥳': 'partying face'}"
2114,{'🥺': 'pleading face'}
2115,{'🥺': 'pleading face'}
2142,"{'💪': 'flexed biceps', '❤️': 'red heart'}"
2143,"{'💪': 'flexed biceps', '❤️': 'red heart'}"
2168,{'🥺': 'pleading face'}
2169,{'🥺': 'pleading face'}
2226,{'🥺': 'pleading face'}
2227,{'🥺': 'pleading face'}
2258,{'👀': 'eyes'}
2259,{'👀': 'eyes'}
2276,{'😭': 'loudly crying face'}
2277,{'😭': 'loudly crying face'}
2284,"{'🎂': 'birthday cake', '🎉': 'party popper'}"
2285,"{'🎂': 'birthday cake', '🎉': 'party popper'}"
2404,"{'🔔': 'bell', '🔗': 'link', '🔁': 'repeat button'}"
2405,"{'🔔': 'bell', '🔗': 'link', '🔁': 'repeat button'}"
2444,"{'🦥': 'sloth', '🌱': 'seedling'}"
2445,"{'🦥': 'sloth', '🌱': 'seedling'}"
2450,{'🥺': 'pleading face'}
2451,{'🥺': 'pleading face'}
2470,{'❤️': 'red heart'}
2471,{'❤️': 'red heart'}
2532,{'♥': 'heart suit'}
2533,{'♥': 'heart suit'}
2596,"{'🏝': 'desert island', '😍': 'smiling face with heart-eyes'}"
2597,"{'🏝': 'desert island', '😍': 'smiling face with heart-eyes'}"
2618,"{'💕': 'two hearts', '🌙': 'crescent moon'}"
2619,"{'💕': 'two hearts', '🌙': 'crescent moon'}"
2626,{'🙃': 'upside-down face'}
2627,{'🙃': 'upside-down face'}
2646,"{'🍂': 'fallen leaf', '🌾': 'sheaf of rice', '🤎': 'brown heart'}"
2647,"{'🍂': 'fallen leaf', '🌾': 'sheaf of rice', '🤎': 'brown heart'}"
2690,{'✨': 'sparkles'}
2691,{'✨': 'sparkles'}
2696,{'🤑': 'money-mouth face'}
2697,{'🤑': 'money-mouth face'}
2722,{'✨': 'sparkles'}
2723,{'✨': 'sparkles'}
2768,{'🥺': 'pleading face'}
2769,{'🥺': 'pleading face'}
2832,{'♥': 'heart suit'}
2833,{'♥': 'heart suit'}
2894,"{'🚽': 'toilet', '😅': 'grinning face with sweat'}"
2895,"{'🚽': 'toilet', '😅': 'grinning face with sweat'}"
2968,{'♥': 'heart suit'}
2969,{'♥': 'heart suit'}
2976,{'😂': 'face with tears of joy'}
2977,{'😂': 'face with tears of joy'}
2984,{'♥': 'heart suit'}
2985,{'♥': 'heart suit'}
3012,"{'🔴': 'red circle', '🤩': 'star-struck', '🤙🏻': 'call me hand: light skin tone'}"
3013,"{'🔴': 'red circle', '🤩': 'star-struck', '🤙🏻': 'call me hand: light skin tone'}"
3024,{'😭': 'loudly crying face'}
3025,{'😭': 'loudly crying face'}
3046,"{'🥰': 'smiling face with hearts', '🏝': 'desert island', '💕': 'two hearts'}"
3047,"{'🥰': 'smiling face with hearts', '🏝': 'desert island', '💕': 'two hearts'}"
3062,{'♥': 'heart suit'}
3063,{'♥': 'heart suit'}
3080,{'💭': 'thought balloon'}
3081,{'💭': 'thought balloon'}
3142,{'🙌': 'raising hands'}
3143,{'🙌': 'raising hands'}
3184,"{'😭': 'loudly crying face', '🥺': 'pleading face'}"
3185,"{'😭': 'loudly crying face', '🥺': 'pleading face'}"
3194,{'🥰': 'smiling face with hearts'}
3195,{'🥰': 'smiling face with hearts'}
3228,{'💖': 'sparkling heart'}
3229,{'💖': 'sparkling heart'}
3232,{'♥': 'heart suit'}
3233,{'♥': 'heart suit'}
3240,{'🥺': 'pleading face'}
3241,{'🥺': 'pleading face'}
3246,{'😭': 'loudly crying face'}
3247,{'😭': 'loudly crying face'}
3270,{'🥺': 'pleading face'}
3271,{'🥺': 'pleading face'}
3306,{'😺': 'grinning cat'}
3307,{'😺': 'grinning cat'}
3324,"{'🎣': 'fishing pole', '🎉': 'party popper', '🐠': 'tropical fish'}"
3325,"{'🎣': 'fishing pole', '🎉': 'party popper', '🐠': 'tropical fish'}"
3336,"{'🙌🏻': 'raising hands: light skin tone', '😱': 'face screaming in fear', '☕': 'hot beverage', '🐦': 'bird', '✨': 'sparkles'}"
3337,"{'🙌🏻': 'raising hands: light skin tone', '😱': 'face screaming in fear', '☕': 'hot beverage', '🐦': 'bird', '✨': 'sparkles'}"
3417,{'♥': 'heart suit'}
3418,{'♥': 'heart suit'}
3433,{'😆': 'grinning squinting face'}
3434,{'😆': 'grinning squinting face'}
3443,{'😍': 'smiling face with heart-eyes'}
3444,{'😍': 'smiling face with heart-eyes'}
3503,{'💫': 'dizzy'}
3504,{'💫': 'dizzy'}
3505,{'♥': 'heart suit'}
3506,{'♥': 'heart suit'}
3511,{'👀': 'eyes'}
3512,{'👀': 'eyes'}
3521,{'🌌': 'milky way'}
3522,{'🌌': 'milky way'}
3585,{'♥': 'heart suit'}
3586,{'♥': 'heart suit'}
3597,{'😭': 'loudly crying face'}
3598,{'😭': 'loudly crying face'}
3601,{'♥': 'heart suit'}
3602,{'♥': 'heart suit'}
3603,"{'🎮': 'video game', '🧃': 'beverage box', '🍓': 'strawberry'}"
3604,"{'🎮': 'video game', '🧃': 'beverage box', '🍓': 'strawberry'}"
3639,{'☕': 'hot beverage'}
3640,{'☕': 'hot beverage'}
3659,"{'🏝': 'desert island', '✨': 'sparkles'}"
3660,"{'🏝': 'desert island', '✨': 'sparkles'}"
3661,{'♥': 'heart suit'}
3662,{'♥': 'heart suit'}
3673,"{'❤️': 'red heart', '🥺': 'pleading face'}"
3674,"{'❤️': 'red heart', '🥺': 'pleading face'}"
3727,{'♥': 'heart suit'}
3728,{'♥': 'heart suit'}
3835,{'😵\u200d💫': 'face with spiral eyes'}
3836,{'😵\u200d💫': 'face with spiral eyes'}
3875,"{'🤩': 'star-struck', '✨': 'sparkles', '😉': 'winking face'}"
3876,"{'🤩': 'star-struck', '✨': 'sparkles', '😉': 'winking face'}"
3887,{'🤷\u200d♂️': 'man shrugging'}
3888,{'🤷\u200d♂️': 'man shrugging'}
3889,{'😱': 'face screaming in fear'}
3890,{'😱': 'face screaming in fear'}
3907,{'☺️': 'smiling face'}
3908,{'☺️': 'smiling face'}
3915,{'♥': 'heart suit'}
3916,{'♥': 'heart suit'}
3979,"{'🐰': 'rabbit face', '🥺': 'pleading face'}"
3980,"{'🐰': 'rabbit face', '🥺': 'pleading face'}"
3985,{'♥': 'heart suit'}
3986,{'♥': 'heart suit'}
4077,{'🧡': 'orange heart'}
4078,{'🧡': 'orange heart'}
4113,{'🍐': 'pear'}
4114,{'🍐': 'pear'}
4117,{'🧜🏼\u200d♀️': 'mermaid: medium-light skin tone'}
4118,{'🧜🏼\u200d♀️': 'mermaid: medium-light skin tone'}
4125,{'🐸': 'frog'}
4126,{'🐸': 'frog'}
4149,"{'\U0001f972': 'smiling face with tear', '🥺': 'pleading face'}"
4150,"{'\U0001f972': 'smiling face with tear', '🥺': 'pleading face'}"
4197,{'😭': 'loudly crying face'}
4198,{'😭': 'loudly crying face'}
4209,"{'\U0001f972': 'smiling face with tear', '💖': 'sparkling heart'}"
4210,"{'\U0001f972': 'smiling face with tear', '💖': 'sparkling heart'}"
4247,{'🤩': 'star-struck'}
4248,{'🤩': 'star-struck'}
4323,"{'📸': 'camera with flash', '🐺': 'wolf'}"
4324,"{'📸': 'camera with flash', '🐺': 'wolf'}"
4345,{'✨': 'sparkles'}
4346,{'✨': 'sparkles'}
4425,{'💚': 'green heart'}
4426,{'💚': 'green heart'}
4475,{'📸': 'camera with flash'}
4476,{'📸': 'camera with flash'}
4495,{'😤': 'face with steam from nose'}
4496,{'😤': 'face with steam from nose'}
4525,{'\U0001f972': 'smiling face with tear'}
4526,{'\U0001f972': 'smiling face with tear'}
4529,"{'💚': 'green heart', '🥺': 'pleading face'}"
4530,"{'💚': 'green heart', '🥺': 'pleading face'}"
4543,{'🔮': 'crystal ball'}
4544,{'🔮': 'crystal ball'}
4555,"{'😭': 'loudly crying face', '💕': 'two hearts', '🥺': 'pleading face'}"
4556,"{'😭': 'loudly crying face', '💕': 'two hearts', '🥺': 'pleading face'}"
4583,{'♥': 'heart suit'}
4584,{'♥': 'heart suit'}
4625,{'♥': 'heart suit'}
4626,{'♥': 'heart suit'}
4627,"{'🧡': 'orange heart', '😍': 'smiling face with heart-eyes'}"
4628,"{'🧡': 'orange heart', '😍': 'smiling face with heart-eyes'}"
4629,{'♥': 'heart suit'}
4630,{'♥': 'heart suit'}
4635,{'♥': 'heart suit'}
4636,{'♥': 'heart suit'}
4643,{'✨': 'sparkles'}
4644,{'✨': 'sparkles'}
4665,{'🥺': 'pleading face'}
4666,{'🥺': 'pleading face'}
4679,"{'💕': 'two hearts', '✨': 'sparkles'}"
4680,"{'💕': 'two hearts', '✨': 'sparkles'}"
4695,{'♥': 'heart suit'}
4696,{'♥': 'heart suit'}
4719,{'♥': 'heart suit'}
4720,{'♥': 'heart suit'}
4745,{'♥': 'heart suit'}
4746,{'♥': 'heart suit'}
